Time,Channel A
(s),(V)

-2.30449997,-1.02401805
-2.30444997,-1.02401805
-2.30439997,-1.00570691
-2.30434997,-1.02401805
-2.30429997,-1.02401805
-2.30424997,-1.02401805
-2.30419997,-1.02401805
-2.30414997,-1.02401805
-2.30409997,-1.04226816
-2.30404997,-1.04226816
-2.30399997,-1.06057930
-2.30394997,-1.06057930
-2.30389997,-1.06057930
-2.30384997,-1.06057930
-2.30379997,-1.07882929
-2.30374997,-1.07882929
-2.30369997,-1.07882929
-2.30364997,-1.11539054
-2.30359997,-1.11539054
-2.30354997,-1.09707940
-2.30349997,-1.11539054
-2.30344997,-1.11539054
-2.30339997,-1.11539054
-2.30334997,-1.11539054
-2.30329997,-1.11539054
-2.30324997,-1.11539054
-2.30319997,-1.11539054
-2.30314997,-1.11539054
-2.30309997,-1.09707940
-2.30304997,-1.07882929
-2.30299997,-1.07882929
-2.30294997,-1.09707940
-2.30289997,-1.07882929
-2.30284997,-1.06057930
-2.30279997,-1.06057930
-2.30274997,-1.06057930
-2.30269997,-1.06057930
-2.30264997,-1.06057930
-2.30259997,-1.06057930
-2.30254997,-1.04226816
-2.30249997,-1.04226816
-2.30244997,-1.04226816
-2.30239997,-1.02401805
-2.30234997,-1.04226816
-2.30229997,-1.02401805
-2.30224997,-1.00570691
-2.30219997,-1.00570691
-2.30214997,-1.00570691
-2.30209997,-1.00570691
-2.30204997,-1.02401805
-2.30199997,-1.04226816
-2.30194997,-1.04226816
-2.30189997,-1.04226816
-2.30184997,-1.04226816
-2.30179997,-1.04226816
-2.30174997,-1.04226816
-2.30169997,-1.06057930
-2.30164997,-1.07882929
-2.30159997,-1.07882929
-2.30154997,-1.07882929
-2.30149997,-1.09707940
-2.30144997,-1.11539054
-2.30139997,-1.09707940
-2.30134997,-1.11539054
-2.30129997,-1.11539054
-2.30124997,-1.11539054
-2.30119997,-1.11539054
-2.30114997,-1.11539054
-2.30109997,-1.11539054
-2.30104997,-1.11539054
-2.30099997,-1.11539054
-2.30094997,-1.09707940
-2.30089997,-1.07882929
-2.30084997,-1.07882929
-2.30079997,-1.06057930
-2.30074997,-1.06057930
-2.30069997,-1.07882929
-2.30064997,-1.06057930
