Time,Channel A
(s),(V)

-9.21959988,-0.82296211
-9.21939988,-0.82296211
-9.21919988,-0.82296211
-9.21899988,-0.82296211
-9.21879988,-0.82296211
-9.21859988,-0.82296211
-9.21839988,-0.82296211
-9.21819988,-0.82296211
-9.21799988,-0.82296211
-9.21779988,-0.80471206
-9.21759988,-0.82296211
-9.21739988,-0.82296211
-9.21719988,-0.82296211
-9.21699988,-0.82296211
-9.21679988,-0.82296211
-9.21659988,-0.82296211
-9.21639988,-0.82296211
-9.21619988,-0.82296211
-9.21599988,-0.82296211
-9.21579988,-0.82296211
-9.21559988,-0.82296211
-9.21539988,-0.82296211
-9.21519988,-0.82296211
-9.21499988,-0.82296211
-9.21479988,-0.82296211
-9.21459988,-0.82296211
-9.21439988,-0.82296211
-9.21419988,-0.82296211
-9.21399988,-0.82296211
-9.21379988,-0.82296211
-9.21359988,-0.82296211
-9.21339988,-0.84121221
-9.21319988,-0.82296211
-9.21299988,-0.82296211
-9.21279988,-0.82296211
-9.21259988,-0.82296211
-9.21239988,-0.82296211
-9.21219988,-0.82296211
-9.21199988,-0.82296211
-9.21179988,-0.82296211
-9.21159988,-0.82296211
-9.21139988,-0.82296211
-9.21119988,-0.82296211
-9.21099988,-0.82296211
-9.21079988,-0.82296211
-9.21059988,-0.82296211
-9.21039988,-0.82296211
-9.21019988,-0.82296211
-9.20999988,-0.82296211
-9.20979988,-0.82296211
-9.20959988,-0.82296211
-9.20939988,-0.82296211
-9.20919988,-0.82296211
-9.20899988,-0.82296211
-9.20879988,-0.82296211
-9.20859988,-0.82296211
-9.20839988,-0.82296211
-9.20819988,-0.82296211
-9.20799988,-0.82296211
-9.20779988,-0.82296211
-9.20759988,-0.82296211
-9.20739988,-0.80471206
-9.20719988,-0.82296211
-9.20699988,-0.82296211
-9.20679988,-0.80471206
-9.20659988,-0.82296211
-9.20639988,-0.82296211
-9.20619988,-0.80471206
-9.20599988,-0.82296211
-9.20579988,-0.82296211
-9.20559988,-0.82296211
-9.20539988,-0.82296211
-9.20519988,-0.82296211
-9.20499988,-0.82296211
-9.20479988,-0.82296211
-9.20459988,-0.82296211
-9.20439988,-0.82296211
-9.20419988,-0.82296211
-9.20399988,-0.82296211
-9.20379988,-0.82296211
-9.20359988,-0.82296211
-9.20339988,-0.82296211
-9.20319988,-0.82296211
-9.20299988,-0.82296211
-9.20279988,-0.82296211
-9.20259988,-0.84121221
-9.20239988,-0.82296211
-9.20219988,-0.82296211
-9.20199988,-0.82296211
-9.20179988,-0.82296211
-9.20159988,-0.82296211
-9.20139988,-0.82296211
-9.20119988,-0.82296211
-9.20099988,-0.82296211
-9.20079988,-0.82296211
-9.20059988,-0.82296211
-9.20039988,-0.82296211
-9.20019988,-0.82296211
-9.19999988,-0.82296211
-9.19979988,-0.82296211
-9.19959988,-0.82296211
-9.19939988,-0.82296211
-9.19919988,-0.82296211
-9.19899988,-0.82296211
-9.19879988,-0.82296211
-9.19859988,-0.82296211
-9.19839988,-0.82296211
-9.19819988,-0.82296211
-9.19799988,-0.82296211
-9.19779988,-0.82296211
-9.19759988,-0.82296211
-9.19739988,-0.82296211
-9.19719988,-0.82296211
-9.19699988,-0.80471206
-9.19679988,-0.82296211
-9.19659988,-0.82296211
-9.19639988,-0.82296211
-9.19619988,-0.82296211
-9.19599988,-0.82296211
-9.19579988,-0.82296211
-9.19559988,-0.82296211
-9.19539988,-0.82296211
-9.19519988,-0.82296211
-9.19499988,-0.82296211
-9.19479988,-0.82296211
-9.19459988,-0.82296211
-9.19439988,-0.82296211
-9.19419988,-0.82296211
-9.19399988,-0.82296211
-9.19379988,-0.82296211
-9.19359988,-0.82296211
-9.19339988,-0.82296211
-9.19319988,-0.82296211
-9.19299988,-0.82296211
-9.19279988,-0.82296211
-9.19259988,-0.82296211
-9.19239988,-0.82296211
-9.19219988,-0.82296211
-9.19199988,-0.82296211
-9.19179988,-0.82296211
-9.19159988,-0.82296211
-9.19139988,-0.82296211
-9.19119988,-0.82296211
-9.19099988,-0.82296211
-9.19079988,-0.82296211
-9.19059988,-0.82296211
-9.19039988,-0.82296211
-9.19019988,-0.82296211
-9.18999988,-0.82296211
-9.18979988,-0.82296211
-9.18959988,-0.82296211
-9.18939988,-0.82296211
-9.18919988,-0.82296211
-9.18899988,-0.82296211
-9.18879988,-0.82296211
-9.18859988,-0.82296211
-9.18839988,-0.82296211
-9.18819988,-0.82296211
-9.18799988,-0.82296211
-9.18779988,-0.82296211
-9.18759988,-0.82296211
-9.18739988,-0.82296211
-9.18719988,-0.82296211
-9.18699988,-0.82296211
-9.18679988,-0.80471206
-9.18659988,-0.82296211
-9.18639988,-0.80471206
-9.18619988,-0.82296211
-9.18599988,-0.82296211
-9.18579988,-0.82296211
-9.18559988,-0.82296211
-9.18539988,-0.82296211
-9.18519988,-0.82296211
-9.18499988,-0.82296211
-9.18479988,-0.82296211
-9.18459988,-0.82296211
-9.18439988,-0.82296211
-9.18419988,-0.82296211
-9.18399988,-0.82296211
-9.18379988,-0.82296211
-9.18359988,-0.82296211
-9.18339988,-0.82296211
-9.18319988,-0.82296211
-9.18299988,-0.82296211
-9.18279988,-0.82296211
-9.18259988,-0.82296211
-9.18239988,-0.82296211
-9.18219988,-0.82296211
-9.18199988,-0.82296211
-9.18179988,-0.82296211
-9.18159988,-0.82296211
-9.18139988,-0.82296211
-9.18119988,-0.82296211
-9.18099988,-0.82296211
-9.18079988,-0.82296211
-9.18059988,-0.82296211
-9.18039988,-0.82296211
-9.18019988,-0.82296211
-9.17999988,-0.82296211
-9.17979988,-0.82296211
-9.17959988,-0.82296211
-9.17939988,-0.82296211
-9.17919988,-0.82296211
-9.17899988,-0.82296211
-9.17879988,-0.82296211
-9.17859988,-0.82296211
-9.17839988,-0.82296211
-9.17819988,-0.82296211
-9.17799988,-0.82296211
-9.17779988,-0.82296211
-9.17759988,-0.82296211
-9.17739988,-0.82296211
-9.17719988,-0.82296211
-9.17699988,-0.82296211
-9.17679988,-0.82296211
-9.17659988,-0.82296211
-9.17639988,-0.82296211
-9.17619988,-0.82296211
-9.17599988,-0.80471206
-9.17579988,-0.82296211
-9.17559988,-0.82296211
-9.17539988,-0.82296211
-9.17519988,-0.82296211
-9.17499988,-0.82296211
-9.17479988,-0.82296211
-9.17459988,-0.82296211
-9.17439988,-0.82296211
-9.17419988,-0.82296211
-9.17399988,-0.82296211
-9.17379988,-0.82296211
-9.17359988,-0.82296211
-9.17339988,-0.84121221
-9.17319988,-0.84121221
-9.17299988,-0.82296211
-9.17279988,-0.82296211
-9.17259988,-0.82296211
-9.17239988,-0.82296211
-9.17219988,-0.82296211
-9.17199988,-0.82296211
-9.17179988,-0.82296211
-9.17159988,-0.82296211
-9.17139988,-0.82296211
-9.17119988,-0.82296211
-9.17099988,-0.82296211
-9.17079988,-0.82296211
-9.17059988,-0.82296211
-9.17039988,-0.82296211
-9.17019988,-0.82296211
-9.16999988,-0.82296211
-9.16979988,-0.82296211
-9.16959988,-0.82296211
-9.16939988,-0.82296211
-9.16919988,-0.82296211
-9.16899988,-0.82296211
-9.16879988,-0.82296211
-9.16859988,-0.82296211
-9.16839988,-0.82296211
-9.16819988,-0.82296211
-9.16799988,-0.82296211
-9.16779988,-0.82296211
-9.16759988,-0.82296211
-9.16739988,-0.82296211
-9.16719988,-0.82296211
-9.16699988,-0.82296211
-9.16679988,-0.82296211
-9.16659988,-0.82296211
-9.16639988,-0.82296211
-9.16619988,-0.82296211
-9.16599988,-0.82296211
-9.16579988,-0.82296211
-9.16559988,-0.82296211
-9.16539988,-0.82296211
-9.16519988,-0.82296211
-9.16499988,-0.82296211
-9.16479988,-0.82296211
-9.16459988,-0.82296211
-9.16439988,-0.82296211
-9.16419988,-0.82296211
-9.16399988,-0.82296211
-9.16379988,-0.82296211
-9.16359988,-0.84121221
-9.16339988,-0.82296211
-9.16319988,-0.82296211
-9.16299988,-0.84121221
-9.16279988,-0.82296211
-9.16259988,-0.82296211
-9.16239988,-0.82296211
-9.16219988,-0.82296211
-9.16199988,-0.82296211
-9.16179988,-0.82296211
-9.16159988,-0.84121221
-9.16139988,-0.82296211
-9.16119988,-0.82296211
-9.16099988,-0.82296211
-9.16079988,-0.82296211
-9.16059988,-0.82296211
-9.16039988,-0.82296211
-9.16019988,-0.82296211
-9.15999988,-0.82296211
-9.15979988,-0.82296211
-9.15959988,-0.82296211
-9.15939988,-0.82296211
-9.15919988,-0.82296211
-9.15899988,-0.82296211
-9.15879988,-0.82296211
-9.15859988,-0.82296211
-9.15839988,-0.82296211
-9.15819988,-0.82296211
-9.15799988,-0.82296211
-9.15779988,-0.82296211
-9.15759988,-0.82296211
-9.15739988,-0.82296211
-9.15719988,-0.82296211
-9.15699988,-0.82296211
-9.15679988,-0.80471206
-9.15659988,-0.82296211
-9.15639988,-0.82296211
-9.15619988,-0.82296211
-9.15599988,-0.82296211
-9.15579988,-0.82296211
-9.15559988,-0.82296211
-9.15539988,-0.82296211
-9.15519988,-0.82296211
-9.15499988,-0.82296211
-9.15479988,-0.82296211
-9.15459988,-0.82296211
-9.15439988,-0.82296211
-9.15419988,-0.82296211
-9.15399988,-0.82296211
-9.15379988,-0.82296211
-9.15359988,-0.82296211
-9.15339988,-0.82296211
-9.15319988,-0.82296211
-9.15299988,-0.82296211
-9.15279988,-0.82296211
-9.15259988,-0.82296211
-9.15239988,-0.82296211
-9.15219988,-0.82296211
-9.15199988,-0.82296211
-9.15179988,-0.82296211
-9.15159988,-0.82296211
-9.15139988,-0.82296211
-9.15119988,-0.82296211
-9.15099988,-0.82296211
-9.15079988,-0.82296211
-9.15059988,-0.82296211
-9.15039988,-0.82296211
-9.15019988,-0.82296211
-9.14999988,-0.82296211
-9.14979988,-0.82296211
-9.14959988,-0.82296211
